   Degrees      Radians        sin(x)          cos(x)          tan(x)          reverstan(x)
 ============================================================================================ 
 0.0             0.000           0.000            1.000           0.000        -2147483648 
 1.0             0.017           0.841            0.540           1.557        000 
 2.0             0.035           0.909            -0.416           -2.185        000 
 3.0             0.052           0.141            -0.990           -0.143        -007 
 4.0             0.070           -0.757            -0.654           1.158        000 
 5.0             0.087           -0.959            0.284           -3.381        000 
 6.0             0.105           -0.279            0.960           -0.291        -003 
 7.0             0.122           0.657            0.754           0.871        001 
 8.0             0.140           0.989            -0.146           -6.800        000 
 9.0             0.157           0.412            -0.911           -0.452        -002 
 10.0             0.175           -0.544            -0.839           0.648        001 
 11.0             0.192           -1.000            0.004           -225.951        000 
 12.0             0.209           -0.537            0.844           -0.636        -001 
 13.0             0.227           0.420            0.907           0.463        002 
 14.0             0.244           0.991            0.137           7.245        000 
 15.0             0.262           0.650            -0.760           -0.856        -001 
 16.0             0.279           -0.288            -0.958           0.301        003 
 17.0             0.297           -0.961            -0.275           3.494        000 
 18.0             0.314           -0.751            0.660           -1.137        000 
 19.0             0.332           0.150            0.989           0.152        006 
 20.0             0.349           0.913            0.408           2.237        000 
 21.0             0.367           0.837            -0.548           -1.527        000 
 22.0             0.384           -0.009            -1.000           0.009        112 
 23.0             0.401           -0.846            -0.533           1.588        000 
 24.0             0.419           -0.906            0.424           -2.135        000 
 25.0             0.436           -0.132            0.991           -0.134        -007 
 26.0             0.454           0.763            0.647           1.179        000 
 27.0             0.471           0.956            -0.292           -3.274        000 
 28.0             0.489           0.271            -0.963           -0.281        -003 
 29.0             0.506           -0.664            -0.748           0.887        001 
 30.0             0.524           -0.988            0.154           -6.405        000 
 31.0             0.541           -0.404            0.915           -0.442        -002 
 32.0             0.559           0.551            0.834           0.661        001 
 33.0             0.576           1.000            -0.013           -75.313        000 
 34.0             0.593           0.529            -0.849           -0.623        -001 
 35.0             0.611           -0.428            -0.904           0.474        002 
 36.0             0.628           -0.992            -0.128           7.750        000 
 37.0             0.646           -0.644            0.765           -0.841        -001 
 38.0             0.663           0.296            0.955           0.310        003 
 39.0             0.681           0.964            0.267           3.615        000 
 40.0             0.698           0.745            -0.667           -1.117        000 
 41.0             0.716           -0.159            -0.987           0.161        006 
 42.0             0.733           -0.917            -0.400           2.291        000 
 43.0             0.750           -0.832            0.555           -1.498        000 
 44.0             0.768           0.018            1.000           0.018        056 
 45.0             0.785           0.851            0.525           1.620        000 
 46.0             0.803           0.902            -0.432           -2.087        000 
 47.0             0.820           0.124            -0.992           -0.125        -008 
 48.0             0.838           -0.768            -0.640           1.200        000 
 49.0             0.855           -0.954            0.301           -3.173        000 
 50.0             0.873           -0.262            0.965           -0.272        -003 
 51.0             0.890           0.670            0.742           0.903        001 
 52.0             0.908           0.987            -0.163           -6.053        000 
 53.0             0.925           0.396            -0.918           -0.431        -002 
 54.0             0.942           -0.559            -0.829           0.674        001 
 55.0             0.960           -1.000            0.022           -45.183        000 
 56.0             0.977           -0.522            0.853           -0.611        -001 
 57.0             0.995           0.436            0.900           0.485        002 
 58.0             1.012           0.993            0.119           8.331        000 
 59.0             1.030           0.637            -0.771           -0.826        -001 
 60.0             1.047           -0.305            -0.952           0.320        003 
 61.0             1.065           -0.966            -0.258           3.743        000 
 62.0             1.082           -0.739            0.674           -1.098        000 
 63.0             1.100           0.167            0.986           0.170        005 
 64.0             1.117           0.920            0.392           2.348        000 
 65.0             1.134           0.827            -0.562           -1.470        000 
 66.0             1.152           -0.027            -1.000           0.027        037 
 67.0             1.169           -0.856            -0.518           1.652        000 
 68.0             1.187           -0.898            0.440           -2.040        000 
 69.0             1.204           -0.115            0.993           -0.116        -008 
 70.0             1.222           0.774            0.633           1.222        000 
 71.0             1.239           0.951            -0.309           -3.078        000 
 72.0             1.257           0.254            -0.967           -0.262        -003 
 73.0             1.274           -0.677            -0.736           0.919        001 
 74.0             1.292           -0.985            0.172           -5.737        000 
 75.0             1.309           -0.388            0.922           -0.421        -002 
 76.0             1.326           0.566            0.824           0.687        001 
 77.0             1.344           1.000            -0.031           -32.269        000 
 78.0             1.361           0.514            -0.858           -0.599        -001 
 79.0             1.379           -0.444            -0.896           0.496        002 
 80.0             1.396           -0.994            -0.110           9.004        000 
 81.0             1.414           -0.630            0.777           -0.811        -001 
 82.0             1.431           0.313            0.950           0.330        003 
 83.0             1.449           0.968            0.250           3.881        000 
 84.0             1.466           0.733            -0.680           -1.078        000 
 85.0             1.484           -0.176            -0.984           0.179        005 
 86.0             1.501           -0.923            -0.384           2.407        000 
 87.0             1.518           -0.822            0.570           -1.442        000 
 88.0             1.536           0.035            0.999           0.035        028 
 89.0             1.553           0.860            0.510           1.686        000 
 90.0             1.571           0.894            -0.448           -1.995        000 
